Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,4,512,1,0.3298,16107.64453125,16056.7373046875,16304.297,16288.094,0.0387
birb,image,4,512,2,0.3142,16107.64453125,15705.37890625,16207.511,16165.135,0.039
birb,image,4,512,3,0.4809,16107.64453125,15345.017578125,16777.33,16594.084,0.0417
birb,image,4,512,4,0.4169,16107.64453125,16119.171875,16243.064,16292.685,0.0391
birb,image,4,512,5,0.3203,16107.64453125,16855.35546875,17392.1,16340.613,0.0376
birb,image,4,512,6,0.3523,16107.64453125,16016.099609375,16188.096,16253.953,0.0403
birb,image,4,512,7,0.3616,16107.64453125,15943.3564453125,16235.352,16237.092,0.0384
birb,image,4,512,8,0.3908,16107.64453125,15572.8623046875,16292.46,17145.0,0.0447
birb,image,4,512,9,0.3365,16107.64453125,16123.005859375,16228.875,16202.619,0.0424
birb,image,4,1024,0,0.3695,16107.64453125,15981.3603515625,16292.424,16182.105,0.0392
birb,image,4,1024,1,0.4069,16107.64453125,15947.5751953125,16181.027,16383.258,0.0394
birb,image,4,1024,2,0.3993,16107.64453125,15992.099609375,16270.677,16244.755,0.0397
birb,image,4,1024,3,0.3396,16107.64453125,16028.916015625,16189.453,16156.769,0.0379
birb,image,4,1024,4,0.4083,16107.64453125,16062.685546875,16129.933,16239.883,0.0398
birb,image,4,1024,5,0.4229,16107.64453125,16185.1005859375,16233.11,16155.432,0.0377
birb,image,4,1024,6,0.3153,16107.64453125,15953.1240234375,16120.342,16232.605,0.0385
birb,image,4,1024,7,0.4438,16107.64453125,15960.3916015625,16264.682,16147.89,0.0383
birb,image,4,1024,8,0.3916,16107.64453125,15784.779296875,16295.741,16205.301,0.0401
birb,image,4,1024,9,0.3406,16107.64453125,16028.203125,16218.496,16160.579,0.0387
birb,image,4,4096,0,0.3669,16107.64453125,16125.8896484375,16110.934,16125.973,0.0458
birb,image,4,4096,1,0.3244,16107.64453125,16104.9453125,16148.885,16115.896,0.0435
birb,image,4,4096,2,0.3349,16107.64453125,16187.8798828125,16117.08,16122.527,0.0487
birb,image,4,4096,3,0.4333,16107.64453125,16099.13671875,16169.284,16123.001,0.0582
birb,image,4,4096,4,0.4015,16107.64453125,16152.5087890625,16118.359,16121.773,0.0458
birb,image,4,4096,5,0.5534,16107.64453125,16125.697265625,16208.035,16168.982,0.0509
