Dataset,Clusters,Budget,Iteration,Cost,Time
donuts,8,512,3,16085205.423760701,0.3278
donuts,8,512,4,16200925.184535787,0.2891
donuts,8,1024,0,16057696.279111447,0.2303
donuts,8,1024,1,15977757.017785903,0.3034
donuts,8,1024,2,16109296.58333239,0.3029
donuts,8,1024,3,16129325.297258187,0.3088
donuts,8,1024,4,16185897.26673622,0.3091
donuts,8,4096,0,15935568.91013536,0.3019
donuts,8,4096,1,15962592.489009004,0.3689
donuts,8,4096,2,15929198.879195422,0.446
donuts,8,4096,3,15929908.551914338,0.3455
donuts,8,4096,4,16165373.613588486,0.308
donuts,16,64,0,10761856.80789052,0.361
donuts,16,64,1,8814767.631882627,0.4095
donuts,16,64,2,8571794.298021618,0.3457
donuts,16,64,3,8444914.466468133,0.3425
donuts,16,64,4,9207464.51716974,0.3749
donuts,16,128,0,8165590.341933699,0.3951
donuts,16,128,1,7687346.505816344,0.3899
donuts,16,128,2,8101939.577147407,0.2864
donuts,16,128,3,7826058.959888708,0.4071
donuts,16,128,4,8122038.167385593,0.3615
donuts,16,256,0,7973969.093441322,0.3732
donuts,16,256,1,7523115.9000766,0.2559
donuts,16,256,2,8056517.694358451,0.3675
donuts,16,256,3,7227093.107346892,0.4076
donuts,16,256,4,7575771.968094835,0.3625
donuts,16,512,0,7303767.92202608,0.3679
donuts,16,512,1,7298271.855026648,0.3923
donuts,16,512,2,7625627.812254169,0.3432
donuts,16,512,3,7688196.619012652,0.3002
donuts,16,512,4,7281899.586312024,0.2999
donuts,16,1024,0,7458991.326332713,0.3002
donuts,16,1024,1,7595734.405596884,0.3775
donuts,16,1024,2,7418119.076723426,0.3919
donuts,16,1024,3,7181284.8289562855,0.4225
donuts,16,1024,4,7257150.780163409,0.2984
donuts,16,4096,0,7039403.678056784,0.4031
donuts,16,4096,1,7002008.531348871,0.3297
donuts,16,4096,2,7269297.705365958,0.3943
donuts,16,4096,3,7037519.332411425,0.3317
donuts,16,4096,4,7046125.211367975,0.3671
donuts,32,64,0,4774681.310382875,0.3649
donuts,32,64,1,5194826.32472739,0.4799
donuts,32,64,2,5083288.542232932,0.4487
donuts,32,64,3,5032819.720560908,0.4555
donuts,32,64,4,5072737.611308146,0.4107
donuts,32,128,0,4656969.689243549,0.4808
donuts,32,128,1,4893629.48844425,0.4485
donuts,32,128,2,4636128.00957576,0.501
donuts,32,128,3,4612665.806859645,0.5123
donuts,32,128,4,4529481.033568539,0.486
donuts,32,256,0,4215332.117775607,0.5022
donuts,32,256,1,4251818.228581118,0.482
donuts,32,256,2,4494649.941620146,0.4584
donuts,32,256,3,4362024.751070251,0.4754
donuts,32,256,4,4291461.251907858,0.4211
donuts,32,512,0,4122415.801212253,0.4944
donuts,32,512,1,4033545.660066554,0.4841
donuts,32,512,2,4250386.486616451,0.4506
donuts,32,512,3,4139379.9892660147,0.4376
donuts,32,512,4,4163742.181214289,0.4922
donuts,32,1024,0,4086217.484774052,0.4655
donuts,32,1024,1,3940719.1619229447,0.4149
donuts,32,1024,2,4051176.5962629523,0.4344
donuts,32,1024,3,4109166.2778618084,0.4947
donuts,32,1024,4,4002546.5275961417,0.4713
donuts,32,4096,0,3890883.1609199,0.4412
donuts,32,4096,1,3948162.220817448,0.5077
donuts,32,4096,2,3848247.4449105375,0.5625
donuts,32,4096,3,3861586.509173349,0.5194
donuts,32,4096,4,3927493.4357748516,0.5807
donuts,64,64,0,2520920.474352606,0.6511
donuts,64,64,1,2476180.2474498963,0.641
donuts,64,64,2,2550946.6154759773,0.674
donuts,64,64,3,2586648.4595641093,0.6244
donuts,64,64,4,2650731.934991054,0.5869
donuts,64,128,0,2562319.821970603,0.6081
donuts,64,128,1,2676496.5807226915,0.7193
donuts,64,128,2,2467812.571863477,0.587
donuts,64,128,3,2446330.952106218,0.6479
donuts,64,128,4,2828145.255281875,0.6832
donuts,64,256,0,2323810.3564591696,0.6838
donuts,64,256,1,2406815.2084160973,0.7073
donuts,64,256,2,2405639.381626834,0.6645
donuts,64,256,3,2379172.982736692,0.6071
donuts,64,256,4,2346746.459996113,0.6335
donuts,64,512,0,2245597.6808890477,0.64
donuts,64,512,1,2280244.6731309006,0.6553
donuts,64,512,2,2279609.0586819826,0.6146
donuts,64,512,3,2312283.86338311,0.6664
donuts,64,512,4,2268897.5392470416,0.6931
donuts,64,1024,0,2183689.409097486,0.7146
donuts,64,1024,1,2192024.083537637,0.6285
donuts,64,1024,2,2167884.672029763,0.6952
donuts,64,1024,3,2186075.5993048484,0.7415
donuts,64,1024,4,2200841.456511563,0.6716
donuts,64,4096,0,2102712.0846354547,0.6163
donuts,64,4096,1,2070530.4787210512,0.718
donuts,64,4096,2,2114743.1081900015,0.7029
donuts,64,4096,3,2053892.3667566865,0.6612
donuts,64,4096,4,2072510.1065019895,0.7643
uber,2,64,0,852.8270386794021,0.2097
uber,2,64,1,752.4431345738411,0.1541
uber,2,64,2,795.2892281316701,0.1763
uber,2,64,3,856.9252628234908,0.1569
uber,2,64,4,779.1449883522514,0.1548
uber,2,128,0,742.127948423042,0.2174
uber,2,128,1,741.989699976447,0.1605
uber,2,128,2,812.222591409728,0.166
uber,2,128,3,840.5091005758732,0.22
uber,2,128,4,867.1791552442293,0.1427
uber,2,256,0,784.3352981211463,0.2579
uber,2,256,1,746.6187686028347,0.196
uber,2,256,2,884.158966587149,0.1812
uber,2,256,3,742.5951336987048,0.1729
uber,2,256,4,737.9989096520326,0.1815
uber,2,512,0,734.2466404665508,0.1487
uber,2,512,1,733.2110545606981,0.1523
uber,2,512,2,743.0772152211542,0.1326
uber,2,512,3,740.7150894766494,0.2217
uber,2,512,4,735.2346191592351,0.1981
uber,2,1024,0,733.515504551641,0.1852
uber,2,1024,1,733.5166239708319,0.1601
uber,2,1024,2,733.0931383892522,0.1962
uber,2,1024,3,733.5641576891003,0.1978
uber,2,1024,4,733.2614583750051,0.155
uber,2,4096,0,733.9616873331679,0.2385
uber,2,4096,1,734.0903692008858,0.1685
uber,2,4096,2,732.7406414960008,0.1769
uber,2,4096,3,732.868026373972,0.1927
uber,2,4096,4,733.0000870852946,0.2379
uber,4,64,0,445.2594537145966,0.2138
uber,4,64,1,350.2676658519789,0.2247
uber,4,64,2,428.00142954556185,0.1452
uber,4,64,3,372.3806615125137,0.2136
uber,4,64,4,501.10767137314065,0.2061
uber,4,128,0,356.7135165102668,0.2343
uber,4,128,1,414.5944887489738,0.2455
uber,4,128,2,337.4666101495592,0.2135
uber,4,128,3,345.5329747527271,0.1894
uber,4,128,4,367.4907495914705,0.1976
uber,4,256,0,385.2852000558246,0.1519
uber,4,256,1,344.72629360963276,0.1419
uber,4,256,2,346.8346937135845,0.1791
uber,4,256,3,357.1076844692452,0.2433
uber,4,256,4,343.5309677819721,0.262
uber,4,512,0,337.778771925804,0.232
uber,4,512,1,336.67023436311047,0.2508
uber,4,512,2,335.91106352050537,0.1977
uber,4,512,3,338.17944749126644,0.233
uber,4,512,4,346.9742723428577,0.2108
uber,4,1024,0,335.48631991153,0.226
uber,4,1024,1,335.16614804909926,0.2117
uber,4,1024,2,335.31064395621286,0.2197
uber,4,1024,3,335.1677582544274,0.257
uber,4,1024,4,336.7760509851272,0.225
uber,4,4096,0,334.97173272258885,0.2725
uber,4,4096,1,335.03218081201004,0.2663
uber,4,4096,2,334.99274852801693,0.2647
uber,4,4096,3,334.7805962919626,0.2625
