Dataset,Clusters,Budget,Iteration,Cost,Time
uber,2,64,4,745.5338,1.3175
uber,2,128,0,738.4777,1.3333
uber,2,128,1,737.0554,1.4166
uber,2,128,2,738.3621,1.4439
uber,2,128,3,776.6462,1.3757
uber,2,128,4,738.4771,1.3167
uber,2,256,0,738.2792,1.4054
uber,2,256,1,737.1938,1.3992
uber,2,256,2,737.8886,1.4197
uber,2,256,3,739.3886,1.5178
uber,2,256,4,738.2033,1.3574
uber,2,512,0,737.1847,1.4423
uber,2,512,1,733.1663,1.4596
uber,2,512,2,732.942,1.4447
uber,2,512,3,733.0238,1.4602
uber,2,512,4,732.925,1.4089
uber,2,1024,0,733.0479,1.5617
uber,2,1024,1,732.7877,1.5361
uber,2,1024,2,732.7254,1.5121
uber,2,1024,3,732.6934,1.5298
uber,2,1024,4,732.6855,1.4669
uber,2,4096,0,732.7402,1.5979
uber,2,4096,1,732.687,1.6002
uber,2,4096,2,732.6627,1.7071
uber,2,4096,3,732.6638,1.6277
uber,2,4096,4,732.7821,1.5611
uber,4,64,0,368.8727,1.7883
uber,4,64,1,403.1464,1.7404
uber,4,64,2,391.1358,1.9109
uber,4,64,3,364.8493,1.9004
uber,4,64,4,352.469,1.6822
uber,4,128,0,347.4527,1.8376
uber,4,128,1,345.1981,1.9057
uber,4,128,2,351.1757,1.8669
uber,4,128,3,375.5314,1.8721
uber,4,128,4,348.9026,1.7826
uber,4,256,0,341.0404,1.817
uber,4,256,1,339.4965,1.87
uber,4,256,2,340.9708,1.7639
uber,4,256,3,340.0526,1.8412
uber,4,256,4,337.9274,1.6962
uber,4,512,0,336.9093,1.8658
uber,4,512,1,341.1283,1.9689
uber,4,512,2,337.2526,1.8397
uber,4,512,3,337.991,1.8939
uber,4,512,4,335.0574,1.8285
uber,4,1024,0,334.6434,1.9336
uber,4,1024,1,334.7298,2.0601
uber,4,1024,2,334.6678,1.8854
uber,4,1024,3,334.6951,1.9319
uber,4,1024,4,334.7223,1.9063
uber,4,4096,0,334.6258,3.0834
uber,4,4096,1,334.6129,2.1125
uber,4,4096,2,334.5938,1.9915
uber,4,4096,3,334.6118,2.0932
uber,4,4096,4,334.6442,2.089
uber,8,64,0,213.8856,6.5929
uber,8,64,1,200.8508,6.4775
uber,8,64,2,200.0901,6.6634
uber,8,64,3,187.751,6.6189
uber,8,64,4,221.0028,6.5506
uber,8,128,0,199.5388,6.5832
uber,8,128,1,197.4759,6.561
uber,8,128,2,172.5909,6.5001
uber,8,128,3,180.2934,6.6211
uber,8,128,4,225.3667,6.4727
uber,8,256,0,184.8507,6.8411
uber,8,256,1,171.0117,6.5108
uber,8,256,2,165.2304,6.5552
uber,8,256,3,168.6551,6.8656
uber,8,256,4,187.133,4.5138
uber,8,512,0,162.9856,3.9736
uber,8,512,1,168.8416,3.9255
uber,8,512,2,167.0821,3.936
uber,8,512,3,165.5877,4.0364
uber,8,512,4,170.4226,4.2507
uber,8,1024,0,162.5799,4.4775
uber,8,1024,1,161.8307,4.728
uber,8,1024,2,161.4514,4.0671
uber,8,1024,3,162.1146,3.9869
uber,8,1024,4,161.3567,3.9557
uber,8,4096,0,160.8185,8.0565
uber,8,4096,1,160.7691,8.42
uber,8,4096,2,160.7676,9.8379
uber,8,4096,3,160.7565,10.0671
uber,8,4096,4,160.829,10.393
uber,16,64,0,142.8179,6.047
uber,16,64,1,132.3068,6.1688
uber,16,64,2,122.5034,6.5641
uber,16,64,3,120.3634,6.2555
uber,16,64,4,121.23,6.1022
uber,16,128,0,101.5922,6.0396
uber,16,128,1,103.0287,6.0088
uber,16,128,2,91.0941,6.1076
uber,16,128,3,118.098,6.3542
uber,16,128,4,118.9465,6.1343
uber,16,256,0,93.5722,8.0686
uber,16,256,1,91.195,6.2368
uber,16,256,2,97.4812,6.3361
uber,16,256,3,82.0906,6.5184
uber,16,256,4,139.2227,6.1755
uber,16,512,0,80.3711,6.4081
uber,16,512,1,78.5616,5.9039
uber,16,512,2,80.3776,6.175
uber,16,512,3,78.4516,6.0878
uber,16,512,4,85.1804,7.1062
uber,16,1024,0,77.3208,6.4385
uber,16,1024,1,76.8466,6.2819
uber,16,1024,2,77.2362,6.436
uber,16,1024,3,77.4399,6.0747
uber,16,1024,4,76.3739,6.1777
uber,16,4096,0,76.0595,6.4104
uber,16,4096,1,76.0666,6.6975
uber,16,4096,2,76.0398,6.8679
uber,16,4096,3,76.0773,18.64
uber,16,4096,4,76.1477,19.6385
uber,32,64,0,89.6311,11.2536
uber,32,64,1,60.0821,11.3405
uber,32,64,2,73.0242,11.3142
uber,32,64,3,61.7443,11.5383
uber,32,64,4,69.9563,12.0677
uber,32,128,0,52.6642,11.9762
uber,32,128,1,56.6955,11.3576
uber,32,128,2,51.0301,11.6004
uber,32,128,3,54.8632,12.7677
uber,32,128,4,57.4505,11.2255
uber,32,256,0,45.9617,11.6888
uber,32,256,1,48.5198,11.5737
uber,32,256,2,47.4108,13.1066
uber,32,256,3,49.5777,11.3077
uber,32,256,4,48.9075,11.4034
uber,32,512,0,45.5216,11.1924
uber,32,512,1,44.7394,11.4669
uber,32,512,2,43.4991,11.604
uber,32,512,3,44.333,11.8638
uber,32,512,4,43.3407,11.7558
uber,32,1024,0,41.1879,11.6571
uber,32,1024,1,40.3461,11.919
uber,32,1024,2,40.9273,11.3218
uber,32,1024,3,40.4748,11.292
uber,32,1024,4,39.9705,11.2736
uber,32,4096,0,38.972,12.1707
uber,32,4096,1,38.0479,11.3205
uber,32,4096,2,38.8868,11.9374
uber,32,4096,3,38.8416,11.5215
uber,32,4096,4,38.5787,11.7769
