Dataset,Clusters,Budget,Iteration,Cost,Time
birb,64,2048,4,1369.2069,0.1007
birb,64,4096,0,1325.7144,0.1608
birb,64,4096,1,1337.052,0.2012
birb,64,4096,2,1377.1985,0.1765
birb,64,4096,3,1339.8014,0.1424
birb,64,4096,4,1331.9692,0.1869
donuts,2,64,0,100386551.11604646,0.124
donuts,2,64,1,100075165.37748748,0.0843
donuts,2,64,2,100410201.73170635,0.0758
donuts,2,64,3,100936925.24213113,0.0794
donuts,2,64,4,106253234.80903453,0.0745
donuts,2,128,0,100213907.72721314,0.0922
donuts,2,128,1,102795268.80082405,0.0786
donuts,2,128,2,100992477.3418273,0.0773
donuts,2,128,3,99802262.80281559,0.1006
donuts,2,128,4,101378240.95547608,0.1257
donuts,2,256,0,99432474.02514684,0.0801
donuts,2,256,1,100278745.62493685,0.0864
donuts,2,256,2,99636984.87741981,0.1278
donuts,2,256,3,99310577.10570566,0.0774
donuts,2,256,4,101809389.73292953,0.0786
donuts,2,512,0,99634668.5854528,0.0807
donuts,2,512,1,99336129.01201311,0.1168
donuts,2,512,2,99420974.25024775,0.1176
donuts,2,512,3,99571053.39527187,0.0755
donuts,2,512,4,99774277.18340881,0.1267
donuts,2,1024,0,100042202.82884154,0.1286
donuts,2,1024,1,99421748.82024038,0.1196
donuts,2,1024,2,99455079.70160533,0.0814
donuts,2,1024,3,99327976.37784684,0.1154
donuts,2,1024,4,99384683.03739327,0.1236
donuts,2,2048,0,99415867.31447215,0.0908
donuts,2,2048,1,99430886.02620319,0.1178
donuts,2,2048,2,99404272.25965595,0.0957
donuts,2,2048,3,99556551.2829335,0.1003
donuts,2,2048,4,99317624.91940826,0.1119
donuts,2,4096,0,99299010.69467731,0.1231
donuts,2,4096,1,99361876.44618648,0.1027
donuts,2,4096,2,99365869.24532346,0.1668
donuts,2,4096,3,99314542.28043401,0.1682
donuts,2,4096,4,99275069.54366753,0.0957
donuts,4,64,0,62468965.69015308,0.1025
donuts,4,64,1,46910638.55425215,0.0794
donuts,4,64,2,46012723.36520205,0.0769
donuts,4,64,3,49370233.63377346,0.0818
donuts,4,64,4,56159160.83811272,0.1211
donuts,4,128,0,46751997.43660216,0.1226
donuts,4,128,1,50733415.306651406,0.0797
donuts,4,128,2,48427754.58861314,0.1085
donuts,4,128,3,48544243.44973299,0.078
donuts,4,128,4,45088808.59800412,0.0799
donuts,4,256,0,45669090.26390654,0.0777
donuts,4,256,1,45130430.35689437,0.0768
donuts,4,256,2,45917238.50295274,0.109
donuts,4,256,3,44791743.342591844,0.1092
donuts,4,256,4,44712275.3189154,0.1031
donuts,4,512,0,44405557.23974344,0.1203
donuts,4,512,1,49378058.08025786,0.078
donuts,4,512,2,44756553.076762155,0.0938
donuts,4,512,3,44403066.25347343,0.1205
donuts,4,512,4,44102510.57362487,0.0801
donuts,4,1024,0,44232491.80289692,0.1005
donuts,4,1024,1,44265091.77646904,0.1137
donuts,4,1024,2,44890966.13065834,0.0775
donuts,4,1024,3,44803926.46416165,0.1294
donuts,4,1024,4,44279272.44157424,0.1292
donuts,4,2048,0,44067244.19239582,0.1348
donuts,4,2048,1,44123381.40275125,0.1266
donuts,4,2048,2,44211504.33561658,0.0897
donuts,4,2048,3,43995484.41000621,0.0928
donuts,4,2048,4,44002799.70312667,0.0845
donuts,4,4096,0,44136317.48680337,0.1541
donuts,4,4096,1,48428691.99966675,0.1803
donuts,4,4096,2,44105426.35660969,0.1329
donuts,4,4096,3,43989490.22302459,0.199
donuts,4,4096,4,55805991.7820599,0.1119
donuts,8,64,0,16821961.9621555,0.0787
donuts,8,64,1,21065687.915399835,0.0933
donuts,8,64,2,17577409.861383397,0.0768
donuts,8,64,3,21610380.247557696,0.0797
donuts,8,64,4,17771331.678497173,0.1028
donuts,8,128,0,17121254.850448612,0.0769
donuts,8,128,1,17370956.932454363,0.0815
donuts,8,128,2,16635086.887778038,0.1448
donuts,8,128,3,18937241.979881067,0.0782
donuts,8,128,4,17900064.06964051,0.1113
donuts,8,256,0,16277257.767794877,0.0795
donuts,8,256,1,18728335.061431807,0.1216
donuts,8,256,2,16220559.316740634,0.0785
donuts,8,256,3,16289301.954423893,0.0804
donuts,8,256,4,18638698.097782232,0.0774
donuts,8,512,0,16133825.617333854,0.1024
donuts,8,512,1,16042445.324130505,0.0928
donuts,8,512,2,18458208.28548502,0.1291
donuts,8,512,3,18578633.825553443,0.0784
donuts,8,512,4,16040931.210585382,0.0844
donuts,8,1024,0,15980169.480967067,0.1004
donuts,8,1024,1,16004088.378264528,0.1213
donuts,8,1024,2,16042738.588479273,0.0785
donuts,8,1024,3,18396296.139299467,0.0817
donuts,8,1024,4,16110715.465922287,0.1161
donuts,8,2048,0,16102061.232469533,0.0971
donuts,8,2048,1,15946791.480914123,0.1087
donuts,8,2048,2,15977365.41163627,0.1003
donuts,8,2048,3,15953246.287795275,0.0899
donuts,8,2048,4,15937323.538176142,0.1143
donuts,8,4096,0,16119550.440603554,0.1147
donuts,8,4096,1,15949901.850177098,0.1193
donuts,8,4096,2,15930239.517880283,0.1169
donuts,8,4096,3,15932367.461234495,0.1049
donuts,8,4096,4,15934352.343575671,0.159
donuts,16,64,0,10085142.247975163,0.0796
donuts,16,64,1,9592567.389390593,0.1043
donuts,16,64,2,9817063.810149545,0.102
donuts,16,64,3,9798618.643470168,0.124
donuts,16,64,4,10364823.343269635,0.1271
donuts,16,128,0,8511569.795205913,0.0784
donuts,16,128,1,8696719.268212095,0.0834
donuts,16,128,2,8915257.210194902,0.0793
donuts,16,128,3,8945525.011646923,0.1082
donuts,16,128,4,9696088.589128342,0.0785
donuts,16,256,0,8049065.513611298,0.1145
donuts,16,256,1,7494846.832293238,0.0941
donuts,16,256,2,7848008.605595613,0.082
donuts,16,256,3,7957919.88462491,0.1048
donuts,16,256,4,7722654.229376443,0.082
donuts,16,512,0,7909093.78872792,0.1277
donuts,16,512,1,7277067.512377519,0.0779
donuts,16,512,2,7484557.939044084,0.0839
donuts,16,512,3,7388207.47977687,0.1038
donuts,16,512,4,7547592.3309141435,0.086
donuts,16,1024,0,7197362.036162414,0.1295
donuts,16,1024,1,7442319.357350832,0.0813
donuts,16,1024,2,7273531.6798775215,0.0882
donuts,16,1024,3,7079177.656377079,0.0862
donuts,16,1024,4,7313103.399700362,0.139
donuts,16,2048,0,7646303.652091123,0.0958
donuts,16,2048,1,7163367.996388433,0.1021
donuts,16,2048,2,7102348.129763369,0.0914
donuts,16,2048,3,7162546.964995892,0.1357
donuts,16,2048,4,7105543.681991289,0.1411
donuts,16,4096,0,7043507.733942296,0.1654
donuts,16,4096,1,7084407.503846028,0.1423
donuts,16,4096,2,7071459.8882137025,0.1096
donuts,16,4096,3,7182371.956352532,0.1968
donuts,16,4096,4,7080086.177931751,0.147
donuts,32,64,0,5517859.135775089,0.0829
donuts,32,64,1,5891962.331214073,0.147
donuts,32,64,2,4840853.024070098,0.0979
donuts,32,64,3,5723295.832106783,0.1296
donuts,32,64,4,5695241.574724089,0.1137
donuts,32,128,0,5182814.33382271,0.1182
donuts,32,128,1,4947012.668231005,0.1209
donuts,32,128,2,5173439.599202918,0.1242
donuts,32,128,3,5052503.294022525,0.0889
donuts,32,128,4,4923143.160152245,0.0997
