Dataset_Name,Dataset_Type,K_Clusters,Q_Budget,Iteration,Cost_Loyd,Time_Loyd,Cost_Biased,Time_Biased,Cost_Uniform,Time_Uniform
donuts,tabular,2,64,1,99270338.16536382,0.2588,100203261.0047889,0.1935,170206451.53828108,0.0413
donuts,tabular,2,64,2,99270338.16536383,0.2533,102382892.16482595,0.1758,101720007.11483446,0.0432
donuts,tabular,2,64,3,99270338.16536382,0.2669,105448598.69255114,0.1896,99854558.5650388,0.0483
donuts,tabular,2,64,4,99270338.16536383,0.2593,100593865.99849308,0.2133,104194988.39648417,0.0477
donuts,tabular,2,128,0,99270338.16536382,0.2637,101077791.45974639,0.1639,102344978.31967485,0.0458
donuts,tabular,2,128,1,99270338.16536382,0.2566,101631447.2203254,0.1638,99960849.19245745,0.0495
donuts,tabular,2,128,2,99270338.16536382,0.2522,100614502.99317777,0.2444,99549262.6904797,0.0476
donuts,tabular,2,128,3,99270338.16536382,0.2566,100869856.83045289,0.1721,107328286.95632356,0.0472
donuts,tabular,2,128,4,99270338.16536382,0.2502,99934391.98653716,0.1807,103391607.77681032,0.0489
donuts,tabular,2,256,0,99270338.16536383,0.2776,99580373.60271801,0.1834,100805201.2616489,0.0506
donuts,tabular,2,256,1,99270338.16536382,0.254,99697644.49503684,0.1725,99494238.84265465,0.0455
donuts,tabular,2,256,2,99270338.16536383,0.259,101103597.38731322,0.1724,100395277.3089369,0.0436
donuts,tabular,2,256,3,99270338.16536382,0.2565,99986182.29223019,0.2026,99787083.36771178,0.0485
donuts,tabular,2,256,4,99270338.16536382,0.2579,99652326.5643287,0.1712,100020568.61115491,0.0421
donuts,tabular,2,512,0,99270338.16536382,0.2671,99327012.60945916,0.1826,101706310.09260792,0.0459
donuts,tabular,2,512,1,99270338.16536382,0.2588,99870130.73120272,0.1829,100360865.66219296,0.0527
donuts,tabular,2,512,2,99270338.16536382,0.2688,99442248.42665814,0.1889,99861031.64694737,0.0517
donuts,tabular,2,512,3,99270338.16536382,0.2513,100896553.5382411,0.2071,99377756.70323497,0.0494
donuts,tabular,2,512,4,99270338.16536382,0.2571,99554716.27310778,0.1757,100290960.65252475,0.0536
donuts,tabular,2,1024,0,99270338.16536382,0.2522,99333237.19761494,0.1641,99367238.84358229,0.0452
donuts,tabular,2,1024,1,99270338.16536382,0.2688,99521877.37586442,0.1694,99300572.95774111,0.0516
donuts,tabular,2,1024,2,99270338.16536382,0.2712,99449298.462132,0.1948,99352994.3171294,0.0504
donuts,tabular,2,1024,3,99270338.16536382,0.2606,99868545.42374161,0.1881,99691997.74198331,0.0549
donuts,tabular,2,1024,4,99270338.16536382,0.2548,99513766.06882009,0.1773,99544903.51318154,0.0457
donuts,tabular,2,4096,0,99270338.16536382,0.2532,99273387.50519186,0.1908,99302308.27505884,0.0521
donuts,tabular,2,4096,1,99270338.16536382,0.2705,99284627.26657951,0.2055,99306980.10006808,0.0541
donuts,tabular,2,4096,2,99270338.16536382,0.2783,99276423.3734071,0.1948,99297521.87105949,0.0598
donuts,tabular,2,4096,3,99270338.16536382,0.2746,99271878.9603473,0.1861,99309327.81933257,0.0764
donuts,tabular,2,4096,4,99270338.16536382,0.2644,99280027.32503353,0.1952,99306441.08648838,0.0522
donuts,tabular,4,64,0,43950548.64908443,0.3844,56838326.9265622,0.2213,46848551.937229455,0.0504
donuts,tabular,4,64,1,43950548.64908443,0.3933,56447228.612570465,0.2252,54344573.02948161,0.0471
donuts,tabular,4,64,2,43950548.64908443,0.3497,49352494.851717226,0.2081,49628761.68443306,0.0451
donuts,tabular,4,64,3,43950548.64908443,0.3746,55912014.817640424,0.2421,49026174.27027959,0.0514
donuts,tabular,4,64,4,43950548.649084434,0.3655,50775998.9946955,0.2331,49603854.64380865,0.046
donuts,tabular,4,128,0,43950548.64908443,0.3583,49188861.35034832,0.2109,44624228.939168945,0.0408
donuts,tabular,4,128,1,43950548.649084434,0.3795,47644934.452605866,0.2031,49566014.64773896,0.0488
donuts,tabular,4,128,2,43950548.64908443,0.3585,44832173.513386555,0.2121,44653214.93632488,0.0497
donuts,tabular,4,128,3,43950548.64908443,0.3628,45181419.08837882,0.1948,49119206.57510407,0.0474
donuts,tabular,4,128,4,43950548.649084434,0.3748,44713414.719428256,0.2111,48816209.96770276,0.0505
donuts,tabular,4,256,0,43950548.64908443,0.3748,48921003.7527834,0.2007,44895802.80574168,0.0471
donuts,tabular,4,256,1,43950548.64908443,0.3523,45848392.209032945,0.2466,48972699.82419026,0.0485
donuts,tabular,4,256,2,43950548.649084434,0.3503,49613472.876031205,0.1972,48720383.73202899,0.0452
donuts,tabular,4,256,3,43950548.64908443,0.3746,44567098.051285416,0.2104,47677314.36812962,0.0413
donuts,tabular,4,256,4,43950548.649084434,0.3559,44573486.24942219,0.2146,50232465.696086325,0.0472
donuts,tabular,4,512,0,43950548.64908443,0.3572,49006068.09220573,0.2126,44543301.806363255,0.045
donuts,tabular,4,512,1,43950548.64908443,0.3872,44144632.511909574,0.222,44305917.49963158,0.0443
donuts,tabular,4,512,2,43950548.64908443,0.3647,44335469.66385484,0.2018,44514432.77081607,0.0509
donuts,tabular,4,512,3,43950548.64908443,0.37,44187395.29260374,0.2138,45318241.4730722,0.0446
donuts,tabular,4,512,4,43950548.649084434,0.3708,48830187.022605464,0.2125,49146639.614136234,0.0485
donuts,tabular,4,1024,0,43950548.649084434,0.3758,48888627.089621335,0.2159,44070155.94569307,0.0449
donuts,tabular,4,1024,1,43950548.64908443,0.3444,44296213.1200223,0.2027,44131809.245393574,0.0508
donuts,tabular,4,1024,2,43950548.64908443,0.3545,48680054.111869246,0.2243,44003926.47838928,0.0491
donuts,tabular,4,1024,3,43950548.649084434,0.3715,44136483.66692492,0.2284,44827380.22978848,0.0534
donuts,tabular,4,1024,4,43950548.649084434,0.3763,44803170.93739704,0.2244,44297685.25109211,0.0472
donuts,tabular,4,4096,0,43950548.64908443,0.346,43962929.292419076,0.233,44117074.903471515,0.0685
donuts,tabular,4,4096,1,43950548.649084434,0.3833,44011238.645995356,0.257,43969527.402322456,0.0653
donuts,tabular,4,4096,2,43950548.64908443,0.3692,43955077.50819454,0.2118,44060576.66613427,0.1038
donuts,tabular,4,4096,3,43950548.649084434,0.3683,43970403.01970975,0.2476,44013603.60822158,0.0918
donuts,tabular,4,4096,4,43950548.649084434,0.3677,48957799.93768524,0.2597,44032685.41480793,0.0521
donuts,tabular,8,64,0,15906032.250369594,0.5588,16685556.465675546,0.2313,18157775.415940672,0.0493
donuts,tabular,8,64,1,15906032.250369594,0.4306,17957025.59070285,0.2331,16931942.16878076,0.0508
donuts,tabular,8,64,2,15906032.250369594,0.4323,16504122.480474437,0.2455,19507780.36366263,0.0559
donuts,tabular,8,64,3,15906032.250369594,0.4465,17643261.32833677,0.2403,17413448.699221116,0.0443
donuts,tabular,8,64,4,15906032.250369594,0.4345,19150159.884489994,0.2322,21253426.360039078,0.0498
donuts,tabular,8,128,0,15906032.250369594,0.4461,16919751.289833076,0.2249,16853450.20745478,0.0499
donuts,tabular,8,128,1,15906032.250369594,0.4246,16369438.347491516,0.2259,19071452.95592653,0.0505
donuts,tabular,8,128,2,15906032.250369594,0.4695,17027056.68284203,0.2467,16310300.553119056,0.0607
donuts,tabular,8,128,3,15906032.250369594,0.446,16978651.405041307,0.2494,17294651.302461743,0.0506
donuts,tabular,8,128,4,15906032.250369594,0.4662,19927406.22806044,0.2349,17379434.671963047,0.0506
donuts,tabular,8,256,0,15906032.250369594,0.4652,18839762.648620196,0.2366,18995594.89936726,0.0483
donuts,tabular,8,256,1,15906032.250369594,0.4438,16257920.699394437,0.2354,15991412.360907618,0.0496
donuts,tabular,8,256,2,15906032.250369594,0.4553,16284595.612774814,0.2449,16601849.484096976,0.0445
donuts,tabular,8,256,3,15906032.250369594,0.4278,16235543.583554769,0.2565,16961186.602609918,0.055
donuts,tabular,8,256,4,15906032.250369594,0.4418,16200184.549529493,0.2395,17619505.90757604,0.0484
donuts,tabular,8,512,0,15906032.250369594,0.4571,16175200.613923635,0.241,16165616.80281204,0.0538
donuts,tabular,8,512,1,15906032.250369594,0.4355,16053871.158701187,0.2424,16024668.479142798,0.0507
donuts,tabular,8,512,2,15906032.250369594,0.4816,16020580.288250037,0.253,16350501.8726122,0.057
donuts,tabular,8,512,3,15906032.250369594,0.4713,16246088.301899727,0.2633,16417591.546836715,0.0492
donuts,tabular,8,512,4,15906032.250369594,0.4818,16083361.301175892,0.2608,15965246.871811105,0.0513
donuts,tabular,8,1024,0,15906032.250369594,0.4741,16083501.417480718,0.266,18665421.526526496,0.0574
donuts,tabular,8,1024,1,15906032.250369594,0.4693,16040172.710169554,0.2739,15964363.25699207,0.052
donuts,tabular,8,1024,2,15906032.250369594,0.4396,16021187.669199783,0.2232,16048355.731898915,0.0532
donuts,tabular,8,1024,3,15906032.250369594,0.4294,16016487.318196442,0.225,18536210.37460717,0.0541
donuts,tabular,8,1024,4,15906032.250369594,0.4373,15968467.282187039,0.2276,16358687.24618733,0.0672
donuts,tabular,8,4096,0,15906032.250369594,0.4389,15945966.409041706,0.2524,15950980.112579122,0.0637
donuts,tabular,8,4096,1,15906032.250369594,0.4274,15928533.490881063,0.2776,15950223.4881789,0.0793
donuts,tabular,8,4096,2,15906032.250369594,0.4549,15913360.639018942,0.253,15943338.622211324,0.0853
donuts,tabular,8,4096,3,15906032.250369594,0.4392,15942241.947266726,0.2606,16071205.233283374,0.0914
donuts,tabular,8,4096,4,15906032.250369594,0.4286,16063793.658623759,0.2536,16073011.606103562,0.0924
donuts,tabular,16,64,0,7016603.885696031,0.8411,8627874.427077528,0.3162,9750206.830531623,0.0622
donuts,tabular,16,64,1,7016603.885696031,0.8552,8054671.571931319,0.2874,8107304.194070205,0.0487
donuts,tabular,16,64,2,7016603.885696031,0.8305,9253155.990768012,0.2899,11733843.311132442,0.0484
donuts,tabular,16,64,3,7016603.885696031,0.8716,8021942.034965126,0.2844,9054894.462422933,0.0534
donuts,tabular,16,64,4,7016603.885696031,0.8776,8839776.198115064,0.2993,9460180.098834194,0.0642
donuts,tabular,16,128,0,7016603.885696031,0.7955,8081639.833049133,0.2901,7760011.821871748,0.0454
donuts,tabular,16,128,1,7016603.885696031,0.909,8312013.736418461,0.3284,8265807.178512613,0.0682
donuts,tabular,16,128,2,7016603.885696031,0.9064,8622747.796220958,0.3216,8102351.937695794,0.0603
donuts,tabular,16,128,3,7016603.885696031,0.8118,8247192.082024786,0.2917,7994183.219198396,0.0515
donuts,tabular,16,128,4,7016603.885696031,0.8068,7785073.255828245,0.2959,8433393.802198542,0.0554
donuts,tabular,16,256,0,7016603.885696031,0.8536,7991358.46428963,0.3162,8329517.423074201,0.0572
donuts,tabular,16,256,1,7016603.885696031,0.8702,7669610.98838383,0.3029,7976724.790285713,0.0491
donuts,tabular,16,256,2,7016603.885696031,0.7927,7643166.260689288,0.2947,7546915.371962097,0.066
donuts,tabular,16,256,3,7016603.885696031,0.8122,7943745.665075822,0.2876,8246703.254488667,0.0511
donuts,tabular,16,256,4,7016603.885696031,0.9627,7234763.086143628,0.3174,7766287.357871405,0.0789
donuts,tabular,16,512,0,7016603.885696031,0.8666,7503030.537142316,0.3017,7259692.428448344,0.0563
donuts,tabular,16,512,1,7016603.885696031,0.8198,7353880.890540809,0.3245,7324341.0493843835,0.0561
donuts,tabular,16,512,2,7016603.885696031,0.8453,7503307.356475711,0.3036,7860304.520735092,0.0599
donuts,tabular,16,512,3,7016603.885696031,0.8308,7519087.907666011,0.3092,7342151.412045682,0.0561
donuts,tabular,16,512,4,7016603.885696031,0.8945,7382909.373614421,0.3016,7725186.297417235,0.0586
donuts,tabular,16,1024,0,7016603.885696031,0.8219,7032395.36274427,0.2858,7202972.235690261,0.0524
donuts,tabular,16,1024,1,7016603.885696031,0.8253,7220021.523402102,0.3197,7760041.107915329,0.0694
donuts,tabular,16,1024,2,7016603.885696031,0.8319,7179420.531148186,0.2982,7460592.857641027,0.0515
donuts,tabular,16,1024,3,7016603.885696031,0.926,7251237.114622308,0.2947,7315155.882880658,0.068
donuts,tabular,16,1024,4,7016603.885696031,0.821,7245104.245158315,0.3006,7188308.865288214,0.0673
donuts,tabular,16,4096,0,7016603.885696031,0.9303,7641686.084602013,0.4634,7111925.90230521,0.068
